metric,platform,n,min,Q1,Q2/med,Q3,max,IQR,mean,mode,mode n,stdev
utilizedCPUs,firecracker,10000,0.998,1,1,1,1.002,0,1,1,5346,7.15E-04
,aws_lambda,7234,0.973,0.999,1,1,1.003,0.001,0.999,1,2659,0.002
,,,,,,,,,,,,
availableCPUs,firecracker,10000,1.974,1.974,1.974,1.974,1.974,0,1.974,1.974,10000,0
,aws_lambda,7234,1.974,1.974,1.974,1.974,1.974,0,1.974,1.974,7234,0
,,,,,,,,,,,,
functionMemory,firecracker,10000,3538,3538,3538,3538,3538,0,3538,3538,10000,0
,aws_lambda,7234,3538,3538,3538,3538,3538,0,3538,3538,7234,0
,,,,,,,,,,,,
recommendedMemory,firecracker,10000,128,128,128,128,128,0,128,128,10000,0
,aws_lambda,7234,128,128,128,128,128,0,128,128,7234,0
frameworkRuntime,firecracker,10000,4,5,5,6,8,1,5.304,5,6895,0.48
,aws_lambda,7234,7,8,8,9,28,1,8.502,8,4476,1.09
,,,,,,,,,,,,
frameworkRuntimeDeltas,firecracker,10000,0,0,0,1,1,1,0.284,0,7155,0.451
,aws_lambda,7234,0,0,0,1,2,1,0.317,0,4948,0.466
latency,firecracker,10000,29.42,33.38,34.22,34.86,186,1.48,34.401,34.46,55,6.615
,aws_lambda,7234,646.8,679.58,696.185,727.2,2016.6,47.62,728.62,685.44,7,117.599
,,,,,,,,,,,,
roundTripTime,firecracker,10000,8252.2,9154.7,9380.3,9460.5,10099.4,305.845,9321,9129.6,4,177.819
,aws_lambda,7234,8200.3,9885.1,10037.5,10188.8,11817.7,303.738,10037.4,9880.9,3,269.194
